Species,ID,Gender,Hatch Date,weight,Price,sale price,On website,Status,Availability
Gargoyle,RA35 Caliber,Female,4/26/2024,16g,550,,no,Auction,
,,,,,,,,,
Gargoyle,RA39 Redbud,Female,8/24/2024,6.76g,"3,000",,no,,
,RA40 ,Male,9/30/2024,,,,,,
Gargoyle,RA42 Zip,Unsexed,8/22/2024,4.76g,750,,,,
Gargoyle,RA46 Toasty,Unsexed,10/29/2024,5.5g,300,,no,Auction,
Gargoyle,RA47 Pumpkin,Female,9/11/2024,7.66g,500,,no,Auction,
Gargoyle,RA48 Mars,Female,7/2/2024,9.2g,"1,250",,no,,
Gargoyle,RA49 Jam,Male,8/28/2024,10.15g,"1,000",,no,,
Gargoyle,RA50 Pumpkin,Male,9/11/2024,6.77g,"1,500",,no,,
Gargoyle,RA51 Jam,Female,8/27/2024,7.20g,450,,no,Auction,
Gargoyle,RA52 Hot Shot,Unsexed NPV,9/11/2024,6.27g,700,,no,,
Gargoyle,RA53 Zip,Unsexed NPV,9/2/2024,5.03g,100,,no,Auction,
Gargoyle,RA54 Moonbow,Unsexed,9/27/2024,5.83g,"2,500",,no,Holdback?,
Gargoyle,RA55 OJ,Unsexed,7/27/2024,8.25g,"1,250",,yes new,,
Gargoyle,RA56 Cardinal ,Female,12/10/2023,,450,,NO,Auction,
Gargoyle,RA57 Cardinal ,Male,1/22/2024,,450,,NO,Auction,
Gargoyle,RA58 Red Jag x Ospot ,Male,9/15/2021,,,,,,
Gargoyle,RA59 Redbud,Male,7/14/2024,,"2,500",,,,
Gargoyle,RA60 Redbud,Male,6/13/2024,,,,,,
Gargoyle,RA61 Maze,male,4/2/2025,,,,,,
Gargoyle,RA62sentinel ,male,8/8/2022,,,,,,
Gargoyle,RA63 Redbud,Unsexed,3/7/2025,,450,,,,
,RA64 Zip,Unsexed,5/7/2025,,199,,,,
,RA65 OBI,Unsexed,4/8/2025,,500,,,,
,RA66 Orange ,Unsexed,5/6/2025,,250,,,,
,RA67 Jam,Unsexed,6/5/2025,,,,,,
,RA68 Mars,male ,1/11/2023,,,,,,
,RA2025-6 Wildfire,,6/10/2025,,2k,,,,
,RA2025-7 ZIP,NPV,4/4/2025,8.6g,950,,,,
,RA2025-8 Toasty,Proh male,3/28/2025,10g,"2,250",,,,
,RA2025-9 SPARK,,6/16/2025,5G,500,,,,
,RA2025-10 SPICE,Poss male pores seen,6/9/2025,6.1G,"1,200",,,,
